all’	a,l’
dell’	di,l’
allo	a,lo
dall'	da,l'
nell’	in,l’
nell'	in,l'
agli	a,gli
ai	a,i
dal	da,il
sull'	su,l'
all'	a,l'
colla	con,la
del	di,il
nel	in,il
degli	di,gli
sullo	su,lo
dall’	da,l’
dell'	di,l'
colle	con,le
de'	di,i
nello	in,lo
sugli	su,gli
coi	con,i
dagli	da,gli
des	de,les
sulle	su,le
sui	su,i
dalle	da,le
della	di,la
dello	di,lo
negli	in,gli
nelle	in,le
pel	per,il
dei	di,i
al	a,il
sulla	su,la
cogli	con,gli
dalla	da,la
nei	in,i
dai	da,i
sul	su,il
nella	in,la
alla	a,la
col	con,il
delle	di,le
dallo	da,lo
alle	a,le
abbandonandoci	abbandonando,ci
abbandonandogli	abbandonando,gli
abbandonandogliela	abbandonando,glie,la
abbandonandoglieli	abbandonando,glie,li
abbandonandoglielo	abbandonando,glie,lo
abbandonandogliene	abbandonando,glie,ne
abbandonandol'	abbandonando,l'
abbandonandola	abbandonando,la
abbandonandole	abbandonando,le
abbandonandoli	abbandonando,li
abbandonandolo	abbandonando,lo
abbandonandomene	abbandonando,me,ne
abbandonandomi	abbandonando,mi
abbandonandone	abbandonando,ne
abbandonandosela	abbandonando,se,la
abbandonandosele	abbandonando,se,le
abbandonandoseli	abbandonando,se,li
abbandonandoselo	abbandonando,se,lo
abbandonandosene	abbandonando,se,ne
abbandonandosi	abbandonando,si
abbandonandoti	abbandonando,ti
abbandonandovi	abbandonando,vi
abbatterci	abbatter,ci
abbattergli	abbatter,gli
abbattergliela	abbatter,glie,la
abbatterglieli	abbatter,glie,li
abbatterglielo	abbatter,glie,lo
abbattergliene	abbatter,glie,ne
abbatterl'	abbatter,l'
abbatterla	abbatter,la
abbatterle	abbatter,le
abbatterli	abbatter,li
abbatterlo	abbatter,lo
abbattermene	abbatter,me,ne
abbattermi	abbatter,mi
abbatterne	abbatter,ne
abbattersela	abbatter,se,la
abbattersele	abbatter,se,le
abbatterseli	abbatter,se,li
abbatterselo	abbatter,se,lo
