all’	a,l’
dell’	di,l’
allo	a,lo
dall'	da,l'
nell’	in,l’
nell'	in,l'
agli	a,gli
ai	a,i
dal	da,il
sull'	su,l'
all'	a,l'
colla	con,la
del	di,il
nel	in,il
degli	di,gli
sullo	su,lo
dall’	da,l’
dell'	di,l'
colle	con,le
de'	di,i
nello	in,lo
sugli	su,gli
coi	con,i
dagli	da,gli
des	de,les
sulle	su,le
sui	su,i
dalle	da,le
della	di,la
dello	di,lo
negli	in,gli
nelle	in,le
pel	per,il
dei	di,i
al	a,il
sulla	su,la
cogli	con,gli
dalla	da,la
nei	in,i
dai	da,i
sul	su,il
nella	in,la
alla	a,la
col	con,il
delle	di,le
dallo	da,lo
alle	a,le
